Title,GPT or Web,keyword,bias / sensationalism score,Author,Publisher
"More than half of COVID-19 ECMO patients die in hospital, while survivors often struggle long term, study finds",web,COVID-19,0,Stephanie Soucheray,CIDRAP
COVID Broke the Rules of Virus Evolution,web,COVID-19,0.7761815171,Sarah Zhang,The Atlantic
Daily briefing: Where did COVID-19 come from? Evidence points to raccoon dogs,web,COVID-19,0.002192775304,Jacob Smith,Nature
"Air Force Deletes 'CQ' Brown Quote, COVID-19 History and Bias Lesson from New Handbook",web,COVID-19,0.9487947561,Thomas Novelly,Military.com
"Downtown Seattle may have escaped the ‘doom loop,’ still off pre-COVID norm",web,COVID-19,0,Lauren Rosenblatt,The Seattle Times
Minneapolis man admits to stealing at least $3.8 million from COVID-19 relief programs,web,COVID-19,0,Lou Raguse,Kare11
"Long COVID news, measles in Texas, RSV vaccine for moms, food recalls and rural health care access",web,COVID-19,0.001482237585,,AMA
"New Coronavirus Found in Bats, Experts Say It’s No Threat",web,COVID-19,0.617392792,India Edwards,US News
"No Spike in Cardiac Arrests, Deaths in Young Athletes During COVID-19",web,COVID-19,0.9415765528,Todd Neale,tctMD
"Scientists have identified a new coronavirus in bats, but it’s not a public health threat",ai,COVID-19,0,Jen Christensen,CNN
The next pandemic: COVID-19 showed us how we can fight the next global outbreak,ai,COVID-19,0,,UC Davis Health
New COVID variant XEC now in half of states. Here's what to know.,ai,COVID-19,0.3094297202,Alexander Tin,CBS News
Long COVID played a role in thousands of deaths: CDC,ai,COVID-19,0.9474954142,Mary Kekatos,ABC News
Megyn Kelly claims Pfizer COVID vaccine left her with autoimmune condition: ‘Wish I hadn’t done it’,ai,COVID-19,0.0003881098163,Alex Oliveira,New York Post
COVID Origins: Exclusive: Inside the FBI’s Lab Leak Investigation,ai,COVID-19,0.4400801205,Katherine Eban,Vanity Fair
Coast Guard reinstates COVID-19 discharged servicemembers,ai,COVID-19,0.1542856408,MyCG Staff,USCG
Wuhan Covid lab planning ‘ominous’ new bat experiments,ai,COVID-19,0,Sarah Knapton,The Telegraph
Threats poured into Granite School District after ‘misleading’ DOGE post accused officials of misusing COVID funds,ai,COVID-19,0.05701234801,Carmen Nesbitt,The Salt Lake Tribune
A Mayo Clinic virologist explains FLiRT and why you may need a new COVID-19 vaccination,ai,COVID-19,0.3095343582,Deb Balzer,Mayo Clinic
"Novavax sees royalties, reduced expenses on COVID vaccines from Sanofi partnership",ai,COVID-19,9.31E-05,Christy Santhosh,Reuters
"Health experts warn of a “quademic” as COVID-19, flu, RSV, and norovirus spread.",ai,COVID-19,0.01126337559,,KNTV
Association of Mechanical Power With Mortality in COVID-19,ai,COVID-19,0.3017826329,,Physician's Weekly
New Emergency Behavioral Health Focused Practice Designation Approved for American Board of Emergency Medicine,web,american medicine,0.4696078761,,Morningstar
Why DeepSeek Will Upend American Medicine,web,american medicine,0.4416502807,Robert Pearl M.D.,Forbes
American chaos: standing up for health and medicine,web,american medicine,0,,The Lancet
"Covid, inflation, and Supreme Court blamed for steep drop in Native American medical school enrollment",web,american medicine,0,Usha Lee McFarling,STAT
Physicians take fight for Medicare payment reform to Capitol Hill,web,american medicine,0,Bruce A. Scott M.D.,AMA
Physician at Alabama’s USA Health selected for international sports medicine fellowship,web,american medicine,0,Michelle Ryan,Alabama News Center
America Is a World Leader in Medicine Development,web,american medicine,0.3051686852,Kirsten Axelsen,AEI
Black HEALTHstory Month Lecture Explores Racial Integration in American Medicine,web,american medicine,0.2412753609,Lucy Gardner Carson,University of Vermont
2 in 3 physicians are using health AI—up 78% from 2023,web,american medicine,0,Tanya Albert Henry,AMA
"As prior authorization burden grows, so does momentum for change",web,american medicine,0,Andis Robeznieks,AMA
"Worst flu season: Influenza virus spread, new bird flu cases in the U.S., plus measles outbreak update",web,american medicine,0,,AMA
"Annals of Family Medicine: Many Americans Overestimate U.S. Primary Care Spending, Study Finds",web,american medicine,0.6015326016,,PR Newswire
"Physician contracting: Restrictive covenants, termination clauses",web,american medicine,0,Staff News Writer,AMA
Sounding The Alarm On The Effect Of Call Centers On American Medicine,web,american medicine,0.7847716804,Sachin H. Jain,Forbes
"NIH Funding Cuts Would Hobble U.S. Medical Research, Insider Says",web,american medicine,0.8221998389,Dan Vergano,Scientific American
Telehealth advocates turn up the pressure as Medicare deadline nears,ai,american medicine,0,Maya Goldman,Axios
Doctors Explain When Flu-Like Symptoms Warrant an ER Visit,ai,american medicine,0.8132234039,,Health.com
Orthopedic Sports Medicine office to relocate to new US 31 location,ai,american medicine,0,Michelle Fedder,Manistee News
‘Because he’s shaking hands’: White House brushes off Donald Trump ‘bruise’ speculation,ai,american medicine,0,,News.com.au
Grad School Is in Trouble,ai,american medicine,0.6104805588,Ian Bogost,The Atlantic
"US to axe grants to 10,000 aid organisations",ai,american medicine,0,,Financial Times
1 big thing: Universities feel ripple effects of DOGE cuts,ai,american medicine,0,Tina Reed,Axios
US FDA to reconsider decision barring compounded versions of Lilly weight loss drug,ai,american medicine,0,Brendan Pierson,Reuters
"Use of opioid overdose antidote by laypersons rose 43% from 2020 to 2022, study finds",ai,american medicine,0,Sam Tupper,CNN
"Reps back reforms to Medicare Physician Fee Schedule, starting with physician reimbursement",ai,american medicine,0,Richard Payerchin,Medical Economics
US FDA pauses Novavax's trial of combo COVID-flu shot on safety concerns,ai,american medicine,0.84918402,Bhanvi Satija,Reuters
"Tobacco use among U.S. pre-teens, teens has dropped to lowest levels seen in 25 years",ai,american medicine,0,,AMA
"FDA Approves First At-Home Flu Vaccine, But Availability Delayed Until Next Season",ai,american medicine,0.4426819421,Staff Reporter,The Universal News Network
"Sickle cell cure may expand access, lower cost",ai,american medicine,0,Maya Goldman,Axios
American Medical Association president calls abortion pill ruling 'most brazen attack on Americans' health',ai,american medicine,0,Lindsay Kornick,FOX News
‘The White Lotus’ New Season Tackles Our Wellness Obsession,web,wellness,0.7816312361,Esther Zuckerman,The Wall Street Journal
"Wellness Weekend at the Inn features yoga, spa treatments, restaurant takeover",web,wellness,0,Karen Billing,San Diego Union-Tribune
Colorful new Humboldt Park wellness center is also an Rx for architectural blahs,web,wellness,0,Lee Bey,Chicago Sun Times
Soap to supremacy: The rise of white wellness,web,wellness,0,Mark Hay,Aljazeera
Are you falling for wellness misinformation online? Here’s how to tell,web,wellness,0,Adrienne Matei,The Guardian
"Wellness blogger Belle Gibson lied about having cancer. Years later, Australia is still chasing her",web,wellness,0,Charlotte Graham-McLay,AP News
What to Know About the Wellness Guru who Faked Cancer and Inspired Netflix’s Apple Cider Vinegar,web,wellness,0.272281264,Olivia B. Waxman,TIME
Bad wellness advice is all over social media. These creators are pushing back,web,wellness,0,Jude Joffe-Block,NPR
"The best smart rings to help track sleep, wellness and more",web,wellness,0.02,Alex Lee,The Independent
RFK Jr. proposed sending addicts to taxpayer-funded ‘wellness farms’ to tackle drug crisis,web,wellness,0,Fox News,New York Post
Local Artist Partners with Soul Dive Yoga to Inspire Wellness for Locals 55+,web,wellness,0.1389920628,,NBC Palm Springs
"Premier Community HealthCare’s Spring Health, Wellness & Fun Fest",web,wellness,0.6985074413,,Suncoast News
New Workshops Focus on Wellness and Creativity for Grievers and Caregivers,web,wellness,0.07999164272,,Eye On Annapolis
Arcadia mansion with wellness center listed for $15 million,web,wellness,0,Angela Gonzales,Phoenix Business Journal
Special Olympics Utah hosts first-of-its-kind Health & Wellness Fair,web,wellness,0.004089285714,Amy Nay,FOX 13 Now
Deliciously Ella: ‘The wellness industry? We’re overdue some sanity’,ai,wellness,0,Michael Odell,The Times
"Here are the x-rated treatments you need to stop right now — trust me, I’m a doctor",ai,wellness,0,Dr Zac Turner,New York Post
GIRL GONE WILDE Olivia Wilde goes braless in totally see-through lace dress at Vanity Fair Oscars party after debuting new boyfriend,ai,wellness,0.379056897,Mollie Quirk,The Sun
Worrying divide in Australians’ mental health,ai,wellness,0,Natalie Brown,News.com.au
Halle Berry Says Perimenopause Made Sex Feel like 'Razor Blades',ai,wellness,0.5541647877,Cara Lynn Shultz,People
Explore the 'Healthiest Home in America' (and the Wellness Features Worth Incorporating),ai,wellness,0.00584733358,Kara Walsh,Better Homes & Gardens
It’s not just Belle Gibson: Wellness TikTok is full of dangerous ‘health’ advice,ai,wellness,0,Hellen Coffey,The Independent
International Luxury Hotel Association And Matrix Fitness Join Forces To Redefine Wellness In Luxury Hospitality,ai,wellness,0.7487832408,,Travel and Tour World
SIX SENSES INTRODUCES INAUGURAL FEMALE WELLNESS PROGRAM,ai,wellness,0.7959166667,HCNME Digital Editor,Hotel & Catering
Healthy Brain & Body brings holistic wellness approach to Owensboro,ai,wellness,0,John Kirkpatrick,The Owensboro Times
RFK Jr.'s plan to combat addiction: 'wellness farms',ai,wellness,0,Alec Schemmel,FOX News
Grey's Anatomy' Star Kate Walsh Shares Healthy Habits for Cancer Prevention,ai,wellness,0.3212687698,,Healthline
Mayo Clinic recognized as ‘World’s Best Hospital’ by Newsweek for the seventh straight year,ai,wellness,0,Joel Streed,Mayo Clinic
VIDEO: Researchers find caregiving worsens menopause symptoms,ai,wellness,0.2331778458,Deb Balzer,Mayo Clinic
The New Thinking on Concussions in Sports,ai,wellness,0.01299014002,Louise Radnofsky,The Wall Street Journal
Experts worry that public health turmoil could make bird flu deadlier,web,public health,0,Paul Sisson,The San Diego Union-Tribune
"Travis County infant tests positive for measles, Austin Public Health says",web,public health,0,Gabby Jimenez,KSAT
Champaign restaurant sues public health district over food storage temperature,web,public health,0,Jack Krumm,WCIA
Postponing last week’s vaccine meeting endangers Americans’ health,web,public health,0,Tom Frieden,The Hill
USAID funding cuts could impact Taiwan's health system: Doctor,web,public health,0.02300421558,"James Thompson, Chen Chien-ling",Focus Taiwan
Nonprofit Disputes Public Health’s Beach Safety Declaration,web,public health,0.4457394695,,Santa Monica Mirror
Mayor Frank Scott Jr. declares housing a public health emergency in Little Rock,web,public health,0,Kathryn Roley,THV11
Opinion - The US is losing its next generation of health scientists,web,public health,0,"James Alwine, Elizabeth Jacobs",The Hill
‘Deadly consequences’: Health agencies reel from thousands of job cuts while critical research grants remain on hold,web,public health,0,Meg Tirrell,CNN
Trump Cuts Target Next Generation of Scientists and Public Health Leaders,web,public health,0.2082357696,Sheryl Gay Stolberg,The New York Times
"College of Behavioral, Social and Health Sciences establishes interdisciplinary Embedded Faculty Scholar Program with the South Carolina Department of Public Health",web,public health,0.01898321624,Shelley Gordon,Clemson News
"Daniel Beaudoin—facilities director, mountain climber, public health enthusiast",web,public health,0,"Anna Webster, Patrick Carey",Harvard T.H. Chan School of Public Health
School of Public Health professor named to new faculty leadership program,web,public health,0,Milledge Austin,Jagwire
MPs underline risks of toxic lead paint in English homes,ai,public health,0,,Financial Times
Left in the dark: Doctors sound the alarm over child deaths,ai,public health,0,,The Daily Telegraph
"Dysentery, the diarrhea-inducing bacterial infection, on the rise in Oregon",ai,public health,0,,New York Post
"A seismic shift in the NHS has just been announced, and no one even noticed",ai,public health,0,Robert Colvile,The Times
What is melioidosis? The deadly disease spreading in Australia,ai,public health,0,Sarah Mitchell,The Advertiser
‘We’re losing decades of our life to this illness’: long Covid patients on the fear of being forgotten,ai,public health,0,Kathryn Bromwich,The Guardian
FDA Abruptly Cancels Critical Flu Shot Meeting,ai,public health,0.2349570662,Cheryl Clark,Medpage Today
"As the Texas outbreak grows, how contagious is measles, really?",ai,public health,0,"Maria Godoy, Alyson Hurt",NPR
Upheaval and firings at CDC raise fears about disease outbreak response,ai,public health,0,"Will Stone, Pien Huang",NPR
Iowa has high cancer rates. Trump's cuts to CDC and NIH are already hitting the state,ai,public health,0.0007891682785,Yuki Noguchi,NPR
​CDPH Warns Against Drinking Second Lot of Raw Milk Following Bird Flu Detection ​,ai,public health,0.9250707356,,California Department of Public Health
​​​CDPH Reminds Public of Rabies Precautions Following Death of Fresno County Resident,ai,public health,0.6432076071,,California Department of Public Health
CDPH Warns of Possible Norovirus Infections from Imported Raw Korean Oysters,ai,public health,0.784957814,,California Department of Public Health
CDPH Warns Consumers Not to Drink Illegal Mary Jones Hemp-Infused Sodas ​​,ai,public health,0.7744053043,,California Department of Public Health
Measles: Risks and What to Do If You Come In Contact With Measles,ai,public health,0.8408472305,Rena Goldman,U.S. News & World Report
Dynasty behind US egg giant looks to cash in as profits soar amid bird flu,web,bird flu,0,"Taylor Nicole Rogers, Patrick Temple-West ",Financial Times
Trump administration unveils bird flu plan as egg prices soar,web,bird flu,0,Brandon Drenon,BBC
Trump’s got a bird flu plan. So when will eggs stop costing so much?,web,bird flu,0,John Towfighi,CNN
Are egg producers inflating prices during the bird flu outbreak to boost profits?,web,bird flu,0,Josh Funk,AP News
"Bird flu devastates Cranberry’s Seggond Chance Farm, a sanctuary for misfit birds",web,bird flu,0,Mary-Ann Thomas,Pittsburg Post-Gazette
Sacramento doctor: Not every child will beat the odds if we don’t take bird flu seriously,web,bird flu,0,Jeremy Sanchez,The Sacramento Bee
WHAT THEY ARE SAYING: Strong Support for USDA’s Actions to Combat Avian Flu,web,bird flu,0.9282762517,,USDA
Bird flu found in Bernalillo County,web,bird flu,0,"Fallon Fischer,  Melissa Torres",KRQE News
Long Island duck farmer’s new hope after bird flu wipes out flock,web,bird flu,0,,NBC News
Cat euthanized in New Jersey after becoming sick from bird flu,web,bird flu,0,6abc digital staff,Whyy
Second US company recalls pet food as bird flu spreads to cats through tainted meat,web,bird flu,0,Melody Schreiber,The Guardian
Another Popular Cat Food Has Been Linked to Bird Flu Igniting More Fear in Pet Parents,web,bird flu,0.8530123447,Devan McGuinness,ParadePets
The US May Start Vaccinating Chickens Against Bird Flu,web,bird flu,0.8776956217,Emily Mullin,WIRED
Iconic Sandhill cranes face mass die-off in bird flu outbreak,web,bird flu,0,"Trevor Hughes, Dinah Voyles Pulver",USA Today
"Egg prices could jump 41% this year, USDA says, as Trump’s bird flu plan is unveiled",ai,bird flu,0,"Josh Funk, Josh Boak",AP News
EVOLVING BUG Two more cats positive for H5N1 bird flu amid scientists’ fears it spreads by WIND,ai,bird flu,0.9522502968,Isabel Shaw,The Scottish Sun
"The Bird Flu Could Be Way Worse Than We Know, According to Experts",ai,bird flu,0.9135460122,Stacey Leasca,Food & Wine
Michigan’s cage-free egg law takes effect amid bird flu crisis,ai,bird flu,0,Jhyrah DeLapp,Michigan's Thumb
H5 Highly Pathogenic Avian Influenza Confirmed in New Jersey Cat,ai,bird flu,0.7446684873,,New Jersey Department of Health
Bird flu threatens backyard flocks in New Mexico,ai,bird flu,0,Tamara Lopez,KOB4
First H5 Bird Flu Death Reported in United States,ai,bird flu,0.9074233379,,CDC
US egg farmers worry fight against bird flu is unwinnable as experts consider vaccinations: ‘I call this virus a terrorist’,ai,bird flu,0,Katherine Donlevy,New York Post
Bird Flu Cases in People Are Being Undercounted,ai,bird flu,0.5722073718,,Wikipedia
Sandhill crane deaths from bird flu in eastern U.S. has Nebraska on alert,ai,bird flu,0,Andrew Ozaki,KETV
"Officials: 90 dead birds removed from pond, deaths possibly caused by bird flu",ai,bird flu,0,Andrew McMunn,Western Mass News
"As bird flu spreads, feds might undercut states by firing scientists, removing data",ai,bird flu,0,Nada Hassanein,Source NM
USDA unveils a $1 billion plan to address the egg crisis,ai,bird flu,0,"Manuela López Restrepo, Scott Horsley",NPR
"From backyard chickens to house cats, the bird flu is spreading. Do you need to worry about another pandemic?",ai,bird flu,0,Katie Kerwin McCrimmon,UCHealth
H5 Bird Flu: Current Situation,ai,bird flu,0.7581944742,", ",CDC
Global effort enhances clinical care for children with rare genetic diseases,web,global medicine,0,Murdoch Children's Research Institute,Medical XPress
Global patterns and trends in breast cancer incidence and mortality across 185 countries,web,global medicine,0,"Joanne Kim, Andrew Harper, Valerie McCormack",Nature
Innovative finance brings new river blindness medicine to Africa,web,global medicine,0,Sara Jerving,Devex
"Global Pharmaceutical Market Size to Worth USD 2845.3 Billion by 2032, Rising Healthcare Expenditure and Innovations in Drug Research Propels Growth | Research by SNS Insider",web,global medicine,0.4512580483,,Yahoo Finance
Why an aspiring doctor left medicine behind to pursue global health policy,web,global medicine,0,,McCourt School of Public Policy Georgetown University
A little-known Chinese company made a drug that beat the world’s biggest-selling medicine,web,global medicine,0,"Wayne Chang, Will Ripley, Eric Cheung",CNN
"Global Medicine Blister Packaging Market to Hit USD 38.8 Billion by 2035, Driven by Sustainability Trends | Future Market Insights, Inc.",web,global medicine,0.1566831215,,Globe Newswire
Crucial aid sits in warehouses worldwide as USAID employees are told to stop working,web,global medicine,0,Suzy Khimm,NBC News
Sierra Leone inaugurates 1st traditional Chinese medicine center,web,global medicine,0,Xinhua,Global Times
"What’s Next in Medicine? Global Experts Discuss the Future, Far Reaching Effects at NXT Conclave 2025",web,global medicine,0.5456571287,Kriti Dhingra,NewsX
Arinze Okafor discusses the road to precision medicine and its impact on global health,web,global medicine,0,Chisom Michael,Business Day
Chewy Veterinary Leader JC Alvarado Colon: Bringing a global perspective to local action,web,global medicine,0.3482551132,Brooke Garcia,Colorado State University
Pandemic monitoring with global aircraft-based wastewater surveillance networks,web,global medicine,0,"Guillaume St-Onge, Jessica T. Davis, Laurent Hébert-Dufresne",Nature
The case for investing in global genomic medicine,web,global medicine,0,Mie Rizig,Nature
Biobanking with genetics shapes precision medicine and global health,web,global medicine,0,"C. Scott Gallagher, Geoffrey S. Ginsburg, Anjené Musick",Nature
"Psychiatric drug research held back by ‘stigma’, says top UK scientist",ai,global medicine,0,,Financial Times
"Breast cancer diagnoses and deaths expected to surge worldwide, says WHO",ai,global medicine,0,Andrew Gregory,The Guardian
A new era of Made in America drug manufacturing,ai,global medicine,0,Tina Reed,Axios
This New Drug Could Help End the HIV Epidemic—but US Funding Cuts Are Killing Its Rollout,ai,global medicine,0.9559779937,David Cox,WIRED
NHS watchdog blocks AstraZeneca breast cancer drug,ai,global medicine,0.004879077615,,Financial Times
"Fake British cough syrup linked to Cameroon child deaths was made in India, officials say",ai,global medicine,0,Sam Lateef,The Telegraph
"Tea bags, takeaways and hot dogs linked to high levels of forever chemicals, American study finds",ai,global medicine,0,,Euronews
The Macro Impacts of Microplastics,ai,global medicine,0.0317877288,Brian W. Simpson,Johns Hopkins Bloomberg School of Public Health
"Africa’s medical system risks ‘collapse in next few years’, warns health leader",ai,global medicine,0,Kat Lay,The Guardian
Musk says work to stop Ebola was accidentally cut but restored. Experts raise doubts,ai,global medicine,0,Gabrielle Emanuel,NPR
"‘Disruptive, unfair and cruel’: jobs lost and treatment stopped as USAid freeze hits HIV care in Zimbabwe",ai,global medicine,0,Farai Shawn Matiashe,The Guardian
Handouts are never free. The cruel US aid freeze is an opportunity for the Caribbean,ai,global medicine,0,Kenneth Mohammed,The Guardian
Better Together: Building a Global Health Network Economy through Data Collaboratio,ai,global medicine,0.293229323,,World Economic Forum
‘It’s a cowboy show out there’: the deadly lottery of the snakebite antivenom industry,ai,global medicine,0,"Paul Eccles, Andjela Milivojevic, Rachel Schraer.",The Guardian
Cancer family 'financially broken' by benefits wait,web,cancer,0,Aurelia Foster,BBC
"Mia Love, first Black Republican congresswoman, faces worsening cancer prognosis, daughter says",web,cancer,0,Kristin Chapman,CNN
"Shark Tank India 4: Pitchers claim of predicting Cancer, Heart Attack and other diseases with their DNA-based screenings; Aman Gupta reacts, 'Meri toh zindagi kharab ho jayegi'",web,cancer,0,,Times of India
Terminal cancer patient 'scared' of dying at home,web,cancer,0,Mairead Smyth,BBC
Auburn coach Hugh Freeze diagnosed with prostate cancer,web,cancer,0,Mark Schlabach,ESPN
Inside the Ramallah hotel housing Gaza’s cancer patients,web,cancer,0,,Al Jazeera
‘I lost 90 per cent of my friends to my diagnosis’: The isolating reality of ‘cancer ghosting’,web,cancer,0,Rachel Clun,The Independent
Retired NYPD cop goes broke trying to save son from rare brain cancer: ‘We won’t give up’,web,cancer,0,Susan Edelman,New York Post
Mediterranean diet could help lower cancer risk in obesity,web,cancer,0,Jessica Freeborn,Medical News Today
Elissa's journey: A young mom's relentless battle for life after colorectal cancer hit,web,cancer,0,Kristen Jordan Shamus,Detroit Free Press
Enhancer reprogramming: critical roles in cancer and promising therapeutic strategies,web,cancer,0,"Jinshou Yang, Feihan Zhou, Xiyuan Luo",Nature Cell Death Discovery
Groundbreaking scanner could revolutionize breast cancer diagnosis and treatment,web,cancer,0,,News Medical Life Sciences
A Rare White Blood Cell Boosts Cancer-Fighting Immune Cells,web,cancer,0.9362523332,Sneha Khedkar,The Scientist
What cuts to NIH funding mean for cancer patients and their families,web,cancer,0,Julia Busiek,University of California
12 new breakthroughs in the fight against cancer,web,cancer,0,"Victoria Masterson, Ian Shine, Madeleine North",World Economic Forum
‘He’s a fighter’: nation awaits result of medical hero’s brain surgery,ai,cancer,0,,The Australian
Young people with cancer in England face seven-month wait for disability benefits,ai,cancer,0,Aletha Adu,The Guardian
"Melbourne mum, 35, dies from bowel cancer as Aussie rates spike in young people",ai,cancer,0,Rebekah Scanlan,news.com.au
"ALL AT RISK I thought only unhealthy old smokers got lung cancer but I was 46, fit as a fiddle and given 5 years to live",ai,cancer,0,Emma Pryer,The Sun
Support pours in for Labor MP battling brain cancer,ai,cancer,0,,The Courier Mail
Can AI Help Predict Which Cancer Patients Should Be Treated with Immunotherapy?,ai,cancer,0.6188405,Sharon Reynolds,NIH National Cancer Institute
Glycoproteomic Influence on NK Cell Response in Ovarian Cancer,ai,cancer,0.4703023253,,Physician's Weekly
Artificial intelligence informs solutions for gastric cancer challenges,ai,cancer,0,,Mayo Clinic
Certain genetic alterations may contribute to primary resistance of certain cancers to KRAS G12C inhibitors,ai,cancer,0,,Medical Xpress
New approach for studying drug-proteoform interactions can improve cancer treatments,ai,cancer,0,,Medical Xpress
"In Early-Phase Pancreatic Cancer Clinical Trial, Investigational mRNA Vaccine Induces Sustained Immune Activity in Small Patient Group",ai,cancer,0.632990655,Jim Stallard,Memorial Sloan Kettering Cancer Center
"Tel Aviv University breaks new ground in cancer detection, treatment with new innovation",ai,cancer,0,,The Jerusalem Post
New immunotherapy platform could increase potential to target cancer cells,ai,cancer,0,,Stanford Report
Reimagining Cancer: Innovation-driven exploration and care,ai,cancer,0,,Stanford Medicine Magazine
Combination treatment strategy dramatically increases cell death in leukemia,ai,cancer,0,Blake Belden,Medical Xpress
